subject,backbone,pipeline,fold,accuracy,auc,mean_accuracy,mean_auc,std_accuracy,p_empirical,p_vs_chance_method,pooled_test_correct,pooled_test_total,alpha_ratio,beta_ratio,lateralization_index
2,csp,asr,4,0.5388888888888889,0.5522530864197531,0.5361111111111111,0.5520617283950617,0.026661602528406218,7.857082168892527e-06,binomial,1930,3600,0.8621629869127596,0.9943325933289006,-0.004446488836409925
2,tangent,asr,0,0.5402777777777777,0.5477777777777777,0.5319444444444444,0.5399205246913581,0.018347006685587378,6.730521689923145e-05,binomial,1915,3600,0.8621629869127596,0.9943325933289006,-0.004446488836409925
2,tangent,asr,1,0.5055555555555555,0.5268827160493827,0.5319444444444444,0.5399205246913581,0.018347006685587378,6.730521689923145e-05,binomial,1915,3600,0.8621629869127596,0.9943325933289006,-0.004446488836409925
2,tangent,asr,2,0.5541666666666667,0.559567901234568,0.5319444444444444,0.5399205246913581,0.018347006685587378,6.730521689923145e-05,binomial,1915,3600,0.8621629869127596,0.9943325933289006,-0.004446488836409925
2,tangent,asr,3,0.5236111111111111,0.5278086419753086,0.5319444444444444,0.5399205246913581,0.018347006685587378,6.730521689923145e-05,binomial,1915,3600,0.8621629869127596,0.9943325933289006,-0.004446488836409925
2,tangent,asr,4,0.5361111111111111,0.5375655864197532,0.5319444444444444,0.5399205246913581,0.018347006685587378,6.730521689923145e-05,binomial,1915,3600,0.8621629869127596,0.9943325933289006,-0.004446488836409925
2,csp,icalabel,0,0.49583333333333335,0.4850617283950618,0.5199999999999999,0.5261134259259259,0.018098240143624354,0.008572306734079866,binomial,1872,3600,0.11011664472724898,0.2560464281873881,-0.007774054100074055
2,csp,icalabel,1,0.5291666666666667,0.5441936728395063,0.5199999999999999,0.5261134259259259,0.018098240143624354,0.008572306734079866,binomial,1872,3600,0.11011664472724898,0.2560464281873881,-0.007774054100074055
2,csp,icalabel,2,0.5277777777777778,0.5319444444444444,0.5199999999999999,0.5261134259259259,0.018098240143624354,0.008572306734079866,binomial,1872,3600,0.11011664472724898,0.2560464281873881,-0.007774054100074055
2,csp,icalabel,3,0.5069444444444444,0.5049151234567901,0.5199999999999999,0.5261134259259259,0.018098240143624354,0.008572306734079866,binomial,1872,3600,0.11011664472724898,0.2560464281873881,-0.007774054100074055
2,csp,icalabel,4,0.5402777777777777,0.5644521604938272,0.5199999999999999,0.5261134259259259,0.018098240143624354,0.008572306734079866,binomial,1872,3600,0.11011664472724898,0.2560464281873881,-0.007774054100074055
2,tangent,icalabel,0,0.4986111111111111,0.5174768518518519,0.5202777777777778,0.5258842592592593,0.01612547252633332,0.007825850341820017,binomial,1873,3600,0.11011664472724898,0.2560464281873881,-0.007774054100074055
2,tangent,icalabel,1,0.5125,0.5131558641975309,0.5202777777777778,0.5258842592592593,0.01612547252633332,0.007825850341820017,binomial,1873,3600,0.11011664472724898,0.2560464281873881,-0.007774054100074055
2,tangent,icalabel,2,0.5375,0.5480246913580248,0.5202777777777778,0.5258842592592593,0.01612547252633332,0.007825850341820017,binomial,1873,3600,0.11011664472724898,0.2560464281873881,-0.007774054100074055
2,tangent,icalabel,3,0.5180555555555556,0.5213348765432099,0.5202777777777778,0.5258842592592593,0.01612547252633332,0.007825850341820017,binomial,1873,3600,0.11011664472724898,0.2560464281873881,-0.007774054100074055
2,tangent,icalabel,4,0.5347222222222222,0.5294290123456791,0.5202777777777778,0.5258842592592593,0.01612547252633332,0.007825850341820017,binomial,1873,3600,0.11011664472724898,0.2560464281873881,-0.007774054100074055
2,csp,gedai,0,0.5458333333333333,0.5472608024691359,0.5472222222222223,0.5630216049382717,0.026076365771553593,7.835198166003978e-09,binomial,1970,3600,0.10145444087818756,0.06118260642108646,-0.00927721773939235
2,csp,gedai,1,0.5305555555555556,0.5502237654320987,0.5472222222222223,0.5630216049382717,0.026076365771553593,7.835198166003978e-09,binomial,1970,3600,0.10145444087818756,0.06118260642108646,-0.00927721773939235
2,csp,gedai,2,0.5888888888888889,0.6077469135802469,0.5472222222222223,0.5630216049382717,0.026076365771553593,7.835198166003978e-09,binomial,1970,3600,0.10145444087818756,0.06118260642108646,-0.00927721773939235
2,csp,gedai,3,0.5208333333333334,0.5593132716049383,0.5472222222222223,0.5630216049382717,0.026076365771553593,7.835198166003978e-09,binomial,1970,3600,0.10145444087818756,0.06118260642108646,-0.00927721773939235
2,csp,gedai,4,0.55,0.5505632716049383,0.5472222222222223,0.5630216049382717,0.026076365771553593,7.835198166003978e-09,binomial,1970,3600,0.10145444087818756,0.06118260642108646,-0.00927721773939235
2,tangent,gedai,0,0.5902777777777778,0.613966049382716,0.5991666666666665,0.6222839506172839,0.017308252866304878,4.5200983276822914e-33,binomial,2157,3600,0.10145444087818756,0.06118260642108646,-0.00927721773939235
2,tangent,gedai,1,0.6069444444444444,0.6181481481481481,0.5991666666666665,0.6222839506172839,0.017308252866304878,4.5200983276822914e-33,binomial,2157,3600,0.10145444087818756,0.06118260642108646,-0.00927721773939235
2,tangent,gedai,2,0.5972222222222222,0.6360493827160494,0.5991666666666665,0.6222839506172839,0.017308252866304878,4.5200983276822914e-33,binomial,2157,3600,0.10145444087818756,0.06118260642108646,-0.00927721773939235
2,tangent,gedai,3,0.5777777777777777,0.5922376543209876,0.5991666666666665,0.6222839506172839,0.017308252866304878,4.5200983276822914e-33,binomial,2157,3600,0.10145444087818756,0.06118260642108646,-0.00927721773939235
2,tangent,gedai,4,0.6236111111111111,0.6510185185185184,0.5991666666666665,0.6222839506172839,0.017308252866304878,4.5200983276822914e-33,binomial,2157,3600,0.10145444087818756,0.06118260642108646,-0.00927721773939235
3,csp,baseline,0,0.4638888888888889,0.4703703703703704,0.4883333333333333,0.4911249999999999,0.01741934677234792,0.9217146251853253,binomial,1758,3600,1.0,1.0,-0.0064736298869542625
3,csp,baseline,1,0.4930555555555556,0.5021141975308642,0.4883333333333333,0.4911249999999999,0.01741934677234792,0.9217146251853253,binomial,1758,3600,1.0,1.0,-0.0064736298869542625
3,csp,baseline,2,0.4861111111111111,0.4831327160493826,0.4883333333333333,0.4911249999999999,0.01741934677234792,0.9217146251853253,binomial,1758,3600,1.0,1.0,-0.0064736298869542625
3,csp,baseline,3,0.5125,0.519375,0.4883333333333333,0.4911249999999999,0.01741934677234792,0.9217146251853253,binomial,1758,3600,1.0,1.0,-0.0064736298869542625
3,csp,baseline,4,0.4861111111111111,0.4806327160493826,0.4883333333333333,0.4911249999999999,0.01741934677234792,0.9217146251853253,binomial,1758,3600,1.0,1.0,-0.0064736298869542625
3,tangent,baseline,0,0.5041666666666667,0.5041666666666667,0.49444444444444446,0.4975478395061729,0.02142673419519656,0.7527992167493336,binomial,1780,3600,1.0,1.0,-0.0064736298869542625
3,tangent,baseline,1,0.49027777777777776,0.5000462962962964,0.49444444444444446,0.4975478395061729,0.02142673419519656,0.7527992167493336,binomial,1780,3600,1.0,1.0,-0.0064736298869542625
3,tangent,baseline,2,0.47638888888888886,0.4702469135802469,0.49444444444444446,0.4975478395061729,0.02142673419519656,0.7527992167493336,binomial,1780,3600,1.0,1.0,-0.0064736298869542625
3,tangent,baseline,3,0.475,0.4783989197530864,0.49444444444444446,0.4975478395061729,0.02142673419519656,0.7527992167493336,binomial,1780,3600,1.0,1.0,-0.0064736298869542625
3,tangent,baseline,4,0.5263888888888889,0.5348804012345679,0.49444444444444446,0.4975478395061729,0.02142673419519656,0.7527992167493336,binomial,1780,3600,1.0,1.0,-0.0064736298869542625
